mode: set
miniclaudecode-go/skills/loader.go:49.58,50.23 1 1
miniclaudecode-go/skills/loader.go:422.92,423.37 1 1
miniclaudecode-go/skills/loader.go:423.37,425.3 1 1
miniclaudecode-go/skills/loader.go:426.2,426.26 1 1
miniclaudecode-go/skills/loader.go:431.59,433.16 2 1
miniclaudecode-go/skills/loader.go:433.16,435.3 1 1
miniclaudecode-go/skills/loader.go:437.2,437.32 1 1
miniclaudecode-go/skills/loader.go:437.32,438.21 1 1
miniclaudecode-go/skills/loader.go:438.21,439.12 1 0
miniclaudecode-go/skills/loader.go:442.3,446.47 4 1
miniclaudecode-go/skills/loader.go:446.47,447.12 1 0
miniclaudecode-go/skills/loader.go:450.3,450.51 1 1
miniclaudecode-go/skills/loader.go:450.51,451.12 1 0
miniclaudecode-go/skills/loader.go:454.3,455.18 2 1
miniclaudecode-go/skills/loader.go:455.18,457.4 1 1
miniclaudecode-go/skills/loader.go:461.91,463.16 2 1
miniclaudecode-go/skills/loader.go:463.16,465.3 1 0
miniclaudecode-go/skills/loader.go:467.2,476.21 6 1
miniclaudecode-go/skills/loader.go:476.21,478.3 1 0
miniclaudecode-go/skills/loader.go:480.2,480.36 1 1
miniclaudecode-go/skills/loader.go:480.36,481.36 1 1
miniclaudecode-go/skills/loader.go:481.36,484.4 2 0
miniclaudecode-go/skills/loader.go:487.2,487.35 1 1
miniclaudecode-go/skills/loader.go:487.35,488.25 1 0
miniclaudecode-go/skills/loader.go:488.25,491.4 2 0
miniclaudecode-go/skills/loader.go:493.2,493.34 1 1
miniclaudecode-go/skills/loader.go:493.34,494.27 1 0
miniclaudecode-go/skills/loader.go:494.27,497.4 2 0
miniclaudecode-go/skills/loader.go:500.2,513.3 1 1
miniclaudecode-go/skills/loader.go:518.49,519.40 1 1
miniclaudecode-go/skills/loader.go:519.40,521.3 1 1
miniclaudecode-go/skills/loader.go:523.2,525.18 3 1
miniclaudecode-go/skills/loader.go:525.18,527.3 1 1
miniclaudecode-go/skills/loader.go:529.2,537.29 6 1
miniclaudecode-go/skills/loader.go:537.29,539.55 2 1
miniclaudecode-go/skills/loader.go:539.55,540.12 1 1
miniclaudecode-go/skills/loader.go:543.3,546.53 2 1
miniclaudecode-go/skills/loader.go:546.53,548.22 2 1
miniclaudecode-go/skills/loader.go:549.20,550.47 1 1
miniclaudecode-go/skills/loader.go:551.20,552.47 1 0
miniclaudecode-go/skills/loader.go:553.16,554.39 1 0
miniclaudecode-go/skills/loader.go:555.16,556.45 1 0
miniclaudecode-go/skills/loader.go:557.15,558.43 1 0
miniclaudecode-go/skills/loader.go:559.17,560.41 1 1
miniclaudecode-go/skills/loader.go:562.4,562.12 1 1
miniclaudecode-go/skills/loader.go:566.3,567.21 2 1
miniclaudecode-go/skills/loader.go:567.21,568.12 1 0
miniclaudecode-go/skills/loader.go:571.3,575.16 3 1
miniclaudecode-go/skills/loader.go:575.16,577.12 2 1
miniclaudecode-go/skills/loader.go:580.3,583.49 2 1
miniclaudecode-go/skills/loader.go:583.49,585.4 1 0
miniclaudecode-go/skills/loader.go:587.3,587.14 1 1
miniclaudecode-go/skills/loader.go:588.15,589.28 1 1
miniclaudecode-go/skills/loader.go:590.22,591.35 1 1
miniclaudecode-go/skills/loader.go:592.17,593.32 1 1
miniclaudecode-go/skills/loader.go:594.20,595.35 1 1
miniclaudecode-go/skills/loader.go:596.18,597.31 1 1
miniclaudecode-go/skills/loader.go:598.19,599.40 1 1
miniclaudecode-go/skills/loader.go:600.15,601.36 1 1
miniclaudecode-go/skills/loader.go:602.19,604.35 1 0
miniclaudecode-go/skills/loader.go:604.35,606.5 1 0
miniclaudecode-go/skills/loader.go:606.10,608.5 1 0
miniclaudecode-go/skills/loader.go:609.22,610.33 1 0
miniclaudecode-go/skills/loader.go:611.16,613.35 1 1
miniclaudecode-go/skills/loader.go:613.35,615.5 1 1
miniclaudecode-go/skills/loader.go:615.10,617.5 1 0
miniclaudecode-go/skills/loader.go:621.2,621.13 1 1
miniclaudecode-go/skills/loader.go:625.41,627.31 2 1
miniclaudecode-go/skills/loader.go:627.31,629.3 1 1
miniclaudecode-go/skills/loader.go:630.2,632.13 3 1
miniclaudecode-go/skills/loader.go:632.13,634.3 1 1
miniclaudecode-go/skills/loader.go:635.2,637.26 3 1
miniclaudecode-go/skills/loader.go:637.26,639.3 1 1
miniclaudecode-go/skills/loader.go:640.2,640.15 1 1
miniclaudecode-go/skills/loader.go:644.35,648.30 4 1
miniclaudecode-go/skills/loader.go:648.30,650.46 2 1
miniclaudecode-go/skills/loader.go:650.46,652.12 2 1
miniclaudecode-go/skills/loader.go:654.3,654.35 1 1
miniclaudecode-go/skills/loader.go:654.35,656.12 2 1
miniclaudecode-go/skills/loader.go:658.3,658.31 1 1
miniclaudecode-go/skills/loader.go:658.31,661.12 3 1
miniclaudecode-go/skills/loader.go:663.3,663.18 1 1
miniclaudecode-go/skills/loader.go:665.2,665.18 1 1
miniclaudecode-go/skills/loader.go:665.18,667.3 1 1
miniclaudecode-go/skills/loader.go:668.2,668.15 1 1
miniclaudecode-go/skills/loader.go:671.31,673.2 1 1
miniclaudecode-go/skills/loader.go:675.31,676.17 1 1
miniclaudecode-go/skills/loader.go:676.17,677.83 1 1
miniclaudecode-go/skills/loader.go:677.83,679.4 1 1
miniclaudecode-go/skills/loader.go:681.2,681.10 1 1
miniclaudecode-go/skills/loader.go:684.46,685.40 1 1
miniclaudecode-go/skills/loader.go:685.40,687.3 1 0
miniclaudecode-go/skills/loader.go:689.2,691.18 3 1
miniclaudecode-go/skills/loader.go:691.18,693.3 1 0
miniclaudecode-go/skills/loader.go:695.2,695.43 1 1
miniclaudecode-go/skills/loader.go:699.59,700.40 1 0
miniclaudecode-go/skills/loader.go:700.40,702.3 1 0
miniclaudecode-go/skills/loader.go:704.2,706.18 3 0
miniclaudecode-go/skills/loader.go:706.18,708.3 1 0
miniclaudecode-go/skills/loader.go:711.2,712.47 2 0
miniclaudecode-go/skills/loader.go:712.47,714.3 1 0
miniclaudecode-go/skills/loader.go:715.2,715.19 1 0
miniclaudecode-go/skills/loader.go:719.60,720.31 1 0
miniclaudecode-go/skills/loader.go:720.31,721.30 1 0
miniclaudecode-go/skills/loader.go:721.30,723.4 1 0
miniclaudecode-go/skills/loader.go:725.2,725.13 1 0
miniclaudecode-go/skills/loader.go:728.51,729.47 1 0
miniclaudecode-go/skills/loader.go:729.47,731.3 1 0
miniclaudecode-go/skills/loader.go:732.2,732.23 1 0
miniclaudecode-go/skills/loader.go:732.23,734.3 1 0
miniclaudecode-go/skills/loader.go:736.2,738.37 3 0
miniclaudecode-go/skills/loader.go:742.57,743.47 1 1
miniclaudecode-go/skills/loader.go:743.47,745.3 1 0
miniclaudecode-go/skills/loader.go:746.2,746.23 1 1
miniclaudecode-go/skills/loader.go:746.23,748.3 1 1
miniclaudecode-go/skills/loader.go:750.2,751.43 2 0
miniclaudecode-go/skills/loader.go:751.43,753.3 1 0
miniclaudecode-go/skills/loader.go:754.2,754.24 1 0
miniclaudecode-go/skills/loader.go:754.24,756.44 2 0
miniclaudecode-go/skills/loader.go:756.44,758.4 1 0
miniclaudecode-go/skills/loader.go:760.2,760.14 1 0
miniclaudecode-go/skills/loader.go:763.34,764.17 1 1
miniclaudecode-go/skills/loader.go:764.17,766.3 1 0
miniclaudecode-go/skills/loader.go:767.2,767.22 1 1
miniclaudecode-go/skills/loader.go:767.22,768.70 1 1
miniclaudecode-go/skills/loader.go:768.70,770.4 1 0
miniclaudecode-go/skills/loader.go:772.2,772.35 1 1
miniclaudecode-go/skills/loader.go:775.36,777.46 1 1
miniclaudecode-go/skills/loader.go:777.46,779.3 1 1
miniclaudecode-go/skills/loader.go:781.2,781.31 1 0
miniclaudecode-go/skills/loader.go:781.31,784.64 3 0
miniclaudecode-go/skills/loader.go:784.64,785.53 1 0
miniclaudecode-go/skills/loader.go:785.53,787.10 2 0
miniclaudecode-go/skills/loader.go:790.3,790.14 1 0
miniclaudecode-go/skills/loader.go:790.14,791.57 1 0
miniclaudecode-go/skills/loader.go:791.57,792.55 1 0
miniclaudecode-go/skills/loader.go:792.55,794.6 1 0
miniclaudecode-go/skills/loader.go:798.2,798.14 1 0
miniclaudecode-go/skills/loader.go:801.33,808.2 6 1
miniclaudecode-go/skills/tracker.go:21.38,27.2 1 1
miniclaudecode-go/skills/tracker.go:30.53,35.2 4 0
miniclaudecode-go/skills/tracker.go:38.47,42.2 3 0
miniclaudecode-go/skills/tracker.go:46.46,50.2 3 1
miniclaudecode-go/skills/tracker.go:53.46,57.2 3 0
miniclaudecode-go/skills/tracker.go:60.50,65.2 4 0
miniclaudecode-go/skills/tracker.go:68.50,73.2 4 0
miniclaudecode-go/skills/tracker.go:77.75,82.30 4 0
miniclaudecode-go/skills/tracker.go:82.30,83.15 1 0
miniclaudecode-go/skills/tracker.go:83.15,85.12 2 0
miniclaudecode-go/skills/tracker.go:87.3,87.48 1 0
miniclaudecode-go/skills/tracker.go:87.48,89.4 1 0
miniclaudecode-go/skills/tracker.go:91.2,91.15 1 0
miniclaudecode-go/skills/tracker.go:95.80,100.30 4 0
miniclaudecode-go/skills/tracker.go:100.30,101.15 1 0
miniclaudecode-go/skills/tracker.go:101.15,102.12 1 0
miniclaudecode-go/skills/tracker.go:104.3,104.48 1 0
miniclaudecode-go/skills/tracker.go:104.48,106.4 1 0
miniclaudecode-go/skills/tracker.go:109.2,109.22 1 0
miniclaudecode-go/skills/tracker.go:109.22,111.3 1 0
miniclaudecode-go/skills/tracker.go:113.2,113.205 1 0
miniclaudecode-go/skills/tracker.go:117.40,121.2 3 1
miniclaudecode-go/skills/tracker.go:124.40,128.2 3 0
miniclaudecode-go/skills/tracker.go:133.53,142.36 5 1
miniclaudecode-go/skills/tracker.go:142.36,144.3 1 1
miniclaudecode-go/skills/tracker.go:145.2,145.42 1 1
miniclaudecode-go/skills/tracker.go:145.42,147.3 1 1
miniclaudecode-go/skills/tracker.go:149.2,150.28 2 1
miniclaudecode-go/skills/tracker.go:150.28,152.3 1 1
miniclaudecode-go/skills/tracker.go:153.2,153.14 1 1
miniclaudecode-go/skills/tracker.go:170.43,176.2 3 0
miniclaudecode-go/skills/tracker.go:180.71,183.31 3 0
miniclaudecode-go/skills/tracker.go:183.31,185.3 1 0
miniclaudecode-go/permissions/auto_strip.go:21.50,22.30 1 1
miniclaudecode-go/permissions/auto_strip.go:22.30,24.3 1 1
miniclaudecode-go/permissions/auto_strip.go:27.2,28.46 2 1
miniclaudecode-go/permissions/auto_strip.go:28.46,30.3 1 1
miniclaudecode-go/permissions/auto_strip.go:32.2,33.24 2 1
miniclaudecode-go/permissions/auto_strip.go:33.24,36.3 1 1
miniclaudecode-go/permissions/auto_strip.go:39.2,39.51 1 1
miniclaudecode-go/permissions/auto_strip.go:39.51,40.48 1 1
miniclaudecode-go/permissions/auto_strip.go:40.48,42.4 1 1
miniclaudecode-go/permissions/auto_strip.go:45.2,45.14 1 1
miniclaudecode-go/permissions/auto_strip.go:50.60,55.24 3 1
miniclaudecode-go/permissions/auto_strip.go:55.24,57.3 1 1
miniclaudecode-go/permissions/auto_strip.go:60.2,61.27 2 1
miniclaudecode-go/permissions/auto_strip.go:61.27,63.3 1 0
miniclaudecode-go/permissions/auto_strip.go:66.2,67.29 2 1
miniclaudecode-go/permissions/auto_strip.go:67.29,69.3 1 0
miniclaudecode-go/permissions/auto_strip.go:72.2,73.26 2 1
miniclaudecode-go/permissions/auto_strip.go:73.26,75.3 1 0
miniclaudecode-go/permissions/auto_strip.go:78.2,79.25 2 1
miniclaudecode-go/permissions/auto_strip.go:79.25,81.3 1 0
miniclaudecode-go/permissions/auto_strip.go:84.2,84.45 1 1
miniclaudecode-go/permissions/auto_strip.go:84.45,86.3 1 1
miniclaudecode-go/permissions/auto_strip.go:89.2,89.45 1 1
miniclaudecode-go/permissions/auto_strip.go:89.45,91.3 1 1
miniclaudecode-go/permissions/auto_strip.go:93.2,93.14 1 1
miniclaudecode-go/permissions/auto_strip.go:99.73,104.34 4 1
miniclaudecode-go/permissions/auto_strip.go:104.34,106.45 2 1
miniclaudecode-go/permissions/auto_strip.go:106.45,107.12 1 1
miniclaudecode-go/permissions/auto_strip.go:110.3,111.30 2 1
miniclaudecode-go/permissions/auto_strip.go:111.30,112.34 1 1
miniclaudecode-go/permissions/auto_strip.go:112.34,114.5 1 1
miniclaudecode-go/permissions/auto_strip.go:114.10,116.5 1 1
miniclaudecode-go/permissions/auto_strip.go:118.3,118.22 1 1
miniclaudecode-go/permissions/auto_strip.go:122.2,123.34 2 1
miniclaudecode-go/permissions/auto_strip.go:123.34,125.60 2 1
miniclaudecode-go/permissions/auto_strip.go:125.60,127.4 1 1
miniclaudecode-go/permissions/auto_strip.go:128.3,128.30 1 1
miniclaudecode-go/permissions/auto_strip.go:128.30,129.26 1 1
miniclaudecode-go/permissions/auto_strip.go:129.26,131.62 2 0
miniclaudecode-go/permissions/auto_strip.go:131.62,133.6 1 0
miniclaudecode-go/permissions/auto_strip.go:134.5,138.7 1 0
miniclaudecode-go/permissions/auto_strip.go:143.2,143.14 1 1
miniclaudecode-go/permissions/auto_strip.go:147.74,151.32 3 1
miniclaudecode-go/permissions/auto_strip.go:151.32,153.3 1 1
miniclaudecode-go/permissions/auto_strip.go:156.2,157.34 2 1
miniclaudecode-go/permissions/auto_strip.go:157.34,160.60 3 1
miniclaudecode-go/permissions/auto_strip.go:160.60,163.4 2 1
miniclaudecode-go/permissions/auto_strip.go:164.3,164.30 1 1
miniclaudecode-go/permissions/auto_strip.go:164.30,165.26 1 1
miniclaudecode-go/permissions/auto_strip.go:165.26,171.5 1 0
miniclaudecode-go/permissions/auto_strip.go:177.66,178.21 1 1
miniclaudecode-go/permissions/auto_strip.go:178.21,180.3 1 1
miniclaudecode-go/permissions/auto_strip.go:182.2,183.32 2 1
miniclaudecode-go/permissions/auto_strip.go:183.32,184.30 1 1
miniclaudecode-go/permissions/auto_strip.go:184.30,186.4 1 1
miniclaudecode-go/permissions/auto_strip.go:188.2,188.71 1 1
miniclaudecode-go/permissions/internal_paths.go:18.42,19.16 1 1
miniclaudecode-go/permissions/internal_paths.go:19.16,21.3 1 1
miniclaudecode-go/permissions/internal_paths.go:22.2,22.34 1 1
miniclaudecode-go/permissions/internal_paths.go:22.34,24.3 1 1
miniclaudecode-go/permissions/internal_paths.go:26.2,27.25 2 1
miniclaudecode-go/permissions/internal_paths.go:27.25,29.3 1 0
miniclaudecode-go/permissions/internal_paths.go:30.2,30.90 1 1
miniclaudecode-go/permissions/internal_paths.go:39.46,43.68 3 1
miniclaudecode-go/permissions/internal_paths.go:43.68,45.3 1 1
miniclaudecode-go/permissions/internal_paths.go:47.2,47.97 1 1
miniclaudecode-go/permissions/internal_paths.go:47.97,49.3 1 1
miniclaudecode-go/permissions/internal_paths.go:51.2,51.97 1 1
miniclaudecode-go/permissions/internal_paths.go:51.97,53.3 1 1
miniclaudecode-go/permissions/internal_paths.go:55.2,55.17 1 1
miniclaudecode-go/permissions/internal_paths.go:55.17,57.3 1 1
miniclaudecode-go/permissions/internal_paths.go:58.2,58.14 1 1
miniclaudecode-go/permissions/internal_paths.go:65.43,67.38 1 1
miniclaudecode-go/permissions/internal_paths.go:67.38,69.3 1 1
miniclaudecode-go/permissions/internal_paths.go:70.2,70.36 1 1
miniclaudecode-go/permissions/internal_paths.go:76.51,79.16 2 1
miniclaudecode-go/permissions/internal_paths.go:79.16,83.17 3 1
miniclaudecode-go/permissions/internal_paths.go:83.17,85.4 1 1
miniclaudecode-go/permissions/internal_paths.go:86.3,86.64 1 0
miniclaudecode-go/permissions/internal_paths.go:90.2,91.16 2 0
miniclaudecode-go/permissions/internal_paths.go:91.16,93.3 1 0
miniclaudecode-go/permissions/internal_paths.go:96.2,96.46 1 0
miniclaudecode-go/permissions/internal_paths.go:96.46,98.3 1 0
miniclaudecode-go/permissions/internal_paths.go:99.2,99.14 1 0
miniclaudecode-go/permissions/internal_paths.go:107.52,111.29 2 1
miniclaudecode-go/permissions/internal_paths.go:111.29,113.3 1 1
miniclaudecode-go/permissions/internal_paths.go:116.2,116.21 1 1
miniclaudecode-go/permissions/internal_paths.go:116.21,118.3 1 1
miniclaudecode-go/permissions/internal_paths.go:121.2,121.28 1 1
miniclaudecode-go/permissions/internal_paths.go:121.28,123.3 1 0
miniclaudecode-go/permissions/internal_paths.go:126.2,126.22 1 1
miniclaudecode-go/permissions/internal_paths.go:126.22,128.3 1 1
miniclaudecode-go/permissions/internal_paths.go:131.2,131.28 1 1
miniclaudecode-go/permissions/internal_paths.go:131.28,133.3 1 1
miniclaudecode-go/permissions/internal_paths.go:136.2,136.28 1 1
miniclaudecode-go/permissions/internal_paths.go:136.28,138.3 1 1
miniclaudecode-go/permissions/internal_paths.go:141.2,141.30 1 1
miniclaudecode-go/permissions/internal_paths.go:141.30,143.3 1 0
miniclaudecode-go/permissions/internal_paths.go:145.2,145.14 1 1
miniclaudecode-go/permissions/internal_paths.go:150.47,154.29 2 1
miniclaudecode-go/permissions/internal_paths.go:154.29,156.3 1 1
miniclaudecode-go/permissions/internal_paths.go:159.2,159.31 1 1
miniclaudecode-go/permissions/internal_paths.go:159.31,161.3 1 1
miniclaudecode-go/permissions/internal_paths.go:164.2,164.26 1 1
miniclaudecode-go/permissions/internal_paths.go:164.26,166.3 1 1
miniclaudecode-go/permissions/internal_paths.go:169.2,169.21 1 1
miniclaudecode-go/permissions/internal_paths.go:169.21,171.3 1 1
miniclaudecode-go/permissions/internal_paths.go:174.2,174.29 1 1
miniclaudecode-go/permissions/internal_paths.go:174.29,176.3 1 0
miniclaudecode-go/permissions/internal_paths.go:179.2,179.28 1 1
miniclaudecode-go/permissions/internal_paths.go:179.28,181.3 1 0
miniclaudecode-go/permissions/internal_paths.go:184.2,184.29 1 1
miniclaudecode-go/permissions/internal_paths.go:184.29,186.3 1 1
miniclaudecode-go/permissions/internal_paths.go:189.2,189.28 1 1
miniclaudecode-go/permissions/internal_paths.go:189.28,191.3 1 0
miniclaudecode-go/permissions/internal_paths.go:194.2,194.28 1 1
miniclaudecode-go/permissions/internal_paths.go:194.28,196.3 1 0
miniclaudecode-go/permissions/internal_paths.go:199.2,199.23 1 1
miniclaudecode-go/permissions/internal_paths.go:199.23,201.3 1 1
miniclaudecode-go/permissions/internal_paths.go:204.2,204.23 1 1
miniclaudecode-go/permissions/internal_paths.go:204.23,206.3 1 1
miniclaudecode-go/permissions/internal_paths.go:209.2,209.31 1 1
miniclaudecode-go/permissions/internal_paths.go:209.31,211.3 1 0
miniclaudecode-go/permissions/internal_paths.go:213.2,213.14 1 1
miniclaudecode-go/permissions/internal_paths.go:217.34,218.35 1 1
miniclaudecode-go/permissions/internal_paths.go:218.35,220.65 2 1
miniclaudecode-go/permissions/internal_paths.go:220.65,222.4 1 1
miniclaudecode-go/permissions/internal_paths.go:224.2,224.14 1 1
miniclaudecode-go/permissions/internal_paths.go:229.41,231.30 2 1
miniclaudecode-go/permissions/internal_paths.go:231.30,233.68 1 1
miniclaudecode-go/permissions/internal_paths.go:233.68,235.4 1 0
miniclaudecode-go/permissions/internal_paths.go:237.2,237.71 1 1
miniclaudecode-go/permissions/internal_paths.go:241.35,242.35 1 1
miniclaudecode-go/permissions/internal_paths.go:242.35,245.3 2 1
miniclaudecode-go/permissions/internal_paths.go:246.2,246.14 1 0
miniclaudecode-go/permissions/internal_paths.go:251.41,252.35 1 1
miniclaudecode-go/permissions/internal_paths.go:252.35,255.79 2 1
miniclaudecode-go/permissions/internal_paths.go:255.79,257.4 1 1
miniclaudecode-go/permissions/internal_paths.go:259.2,259.14 1 1
miniclaudecode-go/permissions/internal_paths.go:263.41,264.35 1 1
miniclaudecode-go/permissions/internal_paths.go:264.35,267.3 2 1
miniclaudecode-go/permissions/internal_paths.go:268.2,268.14 1 0
miniclaudecode-go/permissions/internal_paths.go:272.43,273.15 1 1
miniclaudecode-go/permissions/internal_paths.go:273.15,277.3 3 0
miniclaudecode-go/permissions/internal_paths.go:278.2,278.14 1 1
miniclaudecode-go/permissions/internal_paths.go:283.44,284.35 1 1
miniclaudecode-go/permissions/internal_paths.go:284.35,287.81 2 1
miniclaudecode-go/permissions/internal_paths.go:287.81,289.4 1 1
miniclaudecode-go/permissions/internal_paths.go:291.2,291.14 1 1
miniclaudecode-go/permissions/internal_paths.go:295.39,296.35 1 1
miniclaudecode-go/permissions/internal_paths.go:296.35,299.3 2 1
miniclaudecode-go/permissions/internal_paths.go:300.2,300.14 1 0
miniclaudecode-go/permissions/internal_paths.go:305.42,306.35 1 1
miniclaudecode-go/permissions/internal_paths.go:306.35,309.79 2 1
miniclaudecode-go/permissions/internal_paths.go:309.79,311.4 1 1
miniclaudecode-go/permissions/internal_paths.go:313.2,313.14 1 1
miniclaudecode-go/permissions/internal_paths.go:318.42,320.30 2 1
miniclaudecode-go/permissions/internal_paths.go:320.30,322.3 1 1
miniclaudecode-go/permissions/internal_paths.go:324.2,325.20 2 1
miniclaudecode-go/permissions/internal_paths.go:325.20,327.3 1 0
miniclaudecode-go/permissions/internal_paths.go:329.2,329.35 1 1
miniclaudecode-go/permissions/internal_paths.go:329.35,331.3 1 1
miniclaudecode-go/permissions/internal_paths.go:332.2,332.20 1 1
miniclaudecode-go/permissions/internal_paths.go:332.20,334.3 1 0
miniclaudecode-go/permissions/internal_paths.go:336.2,336.49 1 1
miniclaudecode-go/permissions/internal_paths.go:336.49,338.3 1 1
miniclaudecode-go/permissions/internal_paths.go:339.2,339.11 1 1
miniclaudecode-go/permissions/internal_paths.go:339.11,341.3 1 1
miniclaudecode-go/permissions/internal_paths.go:343.2,343.43 1 0
miniclaudecode-go/permissions/internal_paths.go:347.36,348.35 1 1
miniclaudecode-go/permissions/internal_paths.go:348.35,351.3 2 1
miniclaudecode-go/permissions/internal_paths.go:352.2,352.14 1 0
miniclaudecode-go/permissions/internal_paths.go:356.36,357.35 1 1
